playlistID,userID,name
PL1,U1,"Rock Classics"
PL10,U10,"Blues Legends"
PL11,U11,"Folk Favorites"
PL12,U12,"Metal Mayhem"
PL13,U13,"Punk Rock"
PL14,U14,"Soul Classics"
PL15,U15,"Gospel Praise"
PL16,U16,"Latin Fiesta"
PL17,U17,"Reggaeton Party"
PL18,U18,"Ska Ska Ska"
PL19,U19,"Disco Fever"
PL2,U2,"Pop Hits"
PL20,U20,"Funky Tunes"
PL21,U21,"Techno Madness"
PL22,U22,"House Party"
PL23,U23,"Trance Journey"
PL24,U24,"Dubstep Drop"
PL25,U25,"Drum and Bass Sessions"
PL26,U26,"Garage Vibes"
PL27,U27,"Grime Beats"
PL28,U28,"Dance Anthems"
PL29,U29,"Indie Mix"
PL3,U3,"Jazz Vibes"
PL30,U30,"Alternative Universe"
PL31,U31,"Hardcore Hits"
PL32,U32,"Emo Expressions"
PL33,U33,"Synthpop Sensations"
PL34,U34,"K-Pop Party"
PL35,U35,"J-Pop Jams"
PL36,U36,"C-Pop Craze"
PL37,U37,"Mandopop Madness"
PL38,U38,"Cantonpop Craze"
PL39,U39,"Operatic Pop Showcase"
PL4,U4,"Classical Essentials"
PL40,U40,"Choral Harmony"
PL41,U41,"Orchestral Odyssey"
PL42,U42,"Soundtrack Selections"
PL43,U43,"World Music Wonders"
PL44,U44,"New Age Relaxation"
PL45,U45,"Ambient Atmosphere"
PL46,U46,"Experimental Explorations"
PL47,U47,"Progressive Playlist"
PL48,U48,"Swing Soiree"
PL49,U49,"Big Band Blast"
PL5,U5,"Hip-Hop Beats"
PL50,U50,"Bluegrass Bonanza"
PL6,U6,"Country Roads"
PL7,U7,"Electronic Dance"
PL8,U8,"R&B Grooves"
PL9,U9,"Reggae Rhythms"
